,Survived,Pclass,Sex,Age,IsAlone,SexClass
356,1,1,1,22,0,2
340,1,2,0,2,0,2
572,1,1,0,36,1,1
255,1,3,1,29,0,4
584,0,3,0,25,1,3
864,0,2,0,24,1,2
636,0,3,0,32,1,3
713,0,3,0,29,1,3
302,0,3,0,19,1,3
362,0,3,1,45,0,4
175,0,3,0,18,0,3
107,1,3,0,25,1,3
159,0,3,0,25,0,3
265,0,2,0,36,1,2
166,1,1,1,35,0,2
718,0,3,0,25,1,3
673,1,2,0,31,1,2
42,0,3,0,25,1,3
445,1,1,0,4,0,1
193,1,2,0,3,0,2
426,1,2,1,28,0,3
81,1,3,0,29,1,3
116,0,3,0,70,1,3
645,1,1,0,48,0,1
70,0,2,0,32,1,2
748,0,1,0,19,0,1
314,0,2,0,43,0,2
688,0,3,0,18,1,3
832,0,3,0,25,1,3
63,0,3,0,4,0,3
37,0,3,0,21,1,3
131,0,3,0,20,1,3
885,0,3,1,39,0,4
162,0,3,0,26,1,3
457,1,1,1,35,0,2
708,1,1,1,22,1,2
297,0,1,1,2,0,2
474,0,3,1,22,1,4
767,0,3,1,30,1,4
872,0,1,0,33,1,1
153,0,3,0,40,0,3
316,1,2,1,24,0,3
195,1,1,1,58,1,2
504,1,1,1,16,1,2
829,1,1,1,62,1,2
390,1,1,0,36,0,1
875,1,3,1,15,1,4
155,0,1,0,51,0,1
751,1,3,0,6,0,3
734,0,2,0,23,1,2
64,0,1,0,40,1,1
699,0,3,0,42,1,3
823,1,3,1,27,0,4
39,1,3,1,14,0,4
292,0,2,0,36,1,2
880,1,2,1,25,0,3
704,0,3,0,26,0,3
349,0,3,0,42,1,3
720,1,2,1,6,0,3
566,0,3,0,19,1,3
861,0,2,0,21,0,2
311,1,1,1,18,0,2
417,1,2,1,18,0,3
164,0,3,0,1,0,3
577,1,1,1,39,0,2
594,0,2,0,37,0,2
72,0,2,0,21,1,2
173,0,3,0,21,1,3
344,0,2,0,36,1,2
140,0,3,1,21,0,4
600,1,2,1,24,0,3
833,0,3,0,23,1,3
532,0,3,0,17,0,3
670,1,2,1,40,0,3
410,0,3,0,25,1,3
325,1,1,1,36,1,2
632,1,1,0,32,1,1
138,0,3,0,16,1,3
112,0,3,0,22,1,3
432,1,2,1,42,0,3
603,0,3,0,44,1,3
615,1,2,1,24,0,3
335,0,3,0,25,1,3
475,0,1,0,40,1,1
295,0,1,0,40,1,1
765,1,1,1,51,0,2
71,0,3,1,16,0,4
588,0,3,0,22,1,3
700,1,1,1,18,0,2
308,0,2,0,30,0,2
260,0,3,0,25,1,3
625,0,1,0,61,1,1
395,0,3,0,22,1,3
731,0,3,0,11,1,3
859,0,3,0,25,1,3
784,0,3,0,25,1,3
493,0,1,0,71,1,1
29,0,3,0,25,1,3
301,1,3,0,25,0,3
714,0,2,0,52,1,2
80,0,3,0,22,1,3
601,0,3,0,25,1,3
777,1,3,1,5,1,4
161,1,2,1,40,1,3
486,1,1,1,35,0,2
525,0,3,0,40,1,3
598,0,3,0,25,1,3
548,0,3,0,33,0,3
597,0,3,0,49,1,3
794,0,3,0,25,1,3
438,0,1,0,64,0,1
462,0,1,0,47,1,1
236,0,2,0,44,0,2
732,0,2,0,30,1,2
189,0,3,0,36,1,3
376,1,3,1,22,1,4
618,1,2,1,4,0,3
692,1,3,0,25,1,3
26,0,3,0,25,1,3
669,1,1,1,35,0,2
180,0,3,1,21,0,4
654,0,3,1,18,1,4
254,0,3,1,41,0,4
616,0,3,0,34,0,3
764,0,3,0,16,1,3
443,1,2,1,28,1,3
854,0,2,1,44,0,3
646,0,3,0,19,1,3
882,0,3,1,22,1,4
76,0,3,0,25,1,3
386,0,3,0,1,0,3
321,0,3,0,27,1,3
824,0,3,0,2,0,3
552,0,3,0,25,1,3
88,1,1,1,23,0,2
211,1,2,1,35,1,3
591,1,1,1,52,0,2
30,0,1,0,40,1,1
605,0,3,0,36,0,3
293,0,3,1,24,1,4
92,0,1,0,46,0,1
114,0,3,1,17,1,4
341,1,1,1,24,0,2
602,0,1,0,40,1,1
725,0,3,0,20,1,3
3,1,1,1,35,0,2
208,1,3,1,16,1,4
831,1,2,0,0,0,2
580,1,2,1,25,0,3
626,0,2,0,57,1,2
146,1,3,0,27,1,3
101,0,3,0,25,1,3
268,1,1,1,58,0,2
132,0,3,1,47,0,4
290,1,1,1,26,1,2
469,1,3,1,0,0,4
388,0,3,0,25,1,3
454,0,3,0,25,1,3
447,1,1,0,34,1,1
800,0,2,0,34,1,2
188,0,3,0,40,0,3
779,1,1,1,43,0,2
431,1,3,1,21,0,4
332,0,1,0,38,0,1
819,0,3,0,10,0,3
480,0,3,0,9,0,3
501,0,3,1,21,1,4
250,0,3,0,25,1,3
233,1,3,1,5,0,4
484,1,1,0,25,0,1
75,0,3,0,25,1,3
127,1,3,0,24,1,3
528,0,3,0,39,1,3
695,0,2,0,52,1,2
312,0,2,1,26,0,3
423,0,3,1,28,0,4
230,1,1,1,35,0,2
294,0,3,0,24,1,3
786,1,3,1,18,1,4
170,0,1,0,61,1,1
781,1,1,1,17,0,2
348,1,3,0,3,0,3
821,1,3,0,27,1,3
674,0,2,0,30,1,2
770,0,3,0,24,1,3
746,0,3,0,16,0,3
874,1,2,1,28,0,3
338,1,3,0,45,1,3
537,1,1,1,30,1,2
810,0,3,0,26,1,3
458,1,2,1,50,1,3
556,1,1,1,48,0,2
403,0,3,0,28,0,3
452,0,1,0,30,1,1
419,0,3,1,10,0,4
223,0,3,0,25,1,3
248,1,1,0,37,0,1
719,0,3,0,33,1,3
609,1,1,1,40,1,2
366,1,1,1,60,0,2
858,1,3,1,24,0,4
355,0,3,0,28,1,3
624,0,3,0,21,1,3
500,0,3,0,17,1,3
659,0,1,0,58,0,1
14,0,3,1,14,1,4
224,1,1,0,38,0,1
144,0,2,0,18,1,2
238,0,2,0,19,1,2
451,0,3,0,25,0,3
258,1,1,1,35,1,2
89,0,3,0,24,1,3
28,1,3,1,21,1,4
463,0,2,0,48,1,2
18,0,3,1,31,0,4
436,0,3,1,21,0,4
24,0,3,1,8,0,4
90,0,3,0,29,1,3
235,0,3,1,21,1,4
298,1,1,0,40,1,1
333,0,3,0,16,0,3
373,0,1,0,22,1,1
596,1,2,1,28,1,3
689,1,1,1,15,0,2
706,1,2,1,45,1,3
259,1,2,1,50,0,3
51,0,3,0,21,1,3
306,1,1,1,35,1,2
245,0,1,0,44,0,1
181,0,2,0,30,1,2
529,0,2,0,23,0,2
494,0,3,0,21,1,3
252,0,1,0,62,1,1
360,0,3,0,40,0,3
702,0,3,1,18,0,4
479,1,3,1,2,0,4
435,1,1,1,14,0,2
534,0,3,1,30,1,4
21,1,2,0,34,1,2
62,0,1,0,45,0,1
272,1,2,1,41,0,3
736,0,3,1,48,0,4
210,0,3,0,24,1,3
749,0,3,0,31,1,3
322,1,2,1,30,1,3
299,1,1,1,50,0,2
836,0,3,0,21,1,3
113,0,3,1,20,0,4
169,0,3,0,28,1,3
508,0,3,0,28,1,3
739,0,3,0,25,1,3
788,1,3,0,1,0,3
103,0,3,0,33,1,3
251,0,3,1,29,0,4
710,1,1,1,24,1,2
303,1,2,1,28,1,3
641,1,1,1,24,1,2
838,1,3,0,32,1,3
648,0,3,0,25,1,3
790,0,3,0,25,1,3
817,0,2,0,31,0,2
787,0,3,0,8,0,3
361,0,2,0,29,0,2
196,0,3,0,25,1,3
868,0,3,0,25,1,3
171,0,3,0,4,0,3
156,1,3,1,16,1,4
766,0,1,0,40,1,1
775,0,3,0,18,1,3
865,1,2,1,42,1,3
453,1,1,0,49,0,1
849,1,1,1,35,0,2
808,0,2,0,39,1,2
569,1,3,0,32,1,3
212,0,3,0,22,1,3
698,0,1,0,49,0,1
644,1,3,1,0,0,4
418,0,2,0,30,1,2
505,0,1,0,18,0,1
44,1,3,1,19,1,4
449,1,1,0,52,1,1
840,0,3,0,20,1,3
524,0,3,0,25,1,3
203,0,3,0,45,1,3
595,0,3,0,36,0,3
828,1,3,0,25,1,3
888,0,3,1,21,0,4
737,1,1,0,35,1,1
158,0,3,0,25,1,3
793,0,1,0,40,1,1
448,1,3,1,5,0,4
43,1,2,1,3,0,3
105,0,3,0,28,1,3
511,0,3,0,25,1,3
574,0,3,0,16,1,3
631,0,3,0,51,1,3
744,1,3,0,31,1,3
705,0,2,0,39,1,2
802,1,1,0,11,0,1
612,1,3,1,21,0,4
482,0,3,0,50,1,3
280,0,3,0,65,1,3
610,0,3,1,39,0,4
246,0,3,1,25,1,4
27,0,1,0,19,0,1
520,1,1,1,30,1,2
209,1,1,0,40,1,1
5,0,3,0,25,1,3
497,0,3,0,25,1,3
680,0,3,1,21,1,4
172,1,3,1,1,0,4
684,0,2,0,60,0,2
464,0,3,0,25,1,3
450,0,2,0,36,0,2
150,0,2,0,51,1,2
422,0,3,0,29,1,3
247,1,2,1,24,0,3
634,0,3,1,9,0,4
307,1,1,1,17,0,2
514,0,3,0,24,1,3
352,0,3,0,15,0,3
117,0,2,0,29,0,2
82,1,3,1,21,1,4
227,0,3,0,20,1,3
282,0,3,0,16,1,3
179,0,3,0,36,1,3
240,0,3,1,21,0,4
830,1,3,1,15,0,4
485,0,3,1,21,0,4
774,1,2,1,54,0,3
60,0,3,0,22,1,3
738,0,3,0,25,1,3
407,1,2,0,3,0,2
665,0,2,0,32,0,2
855,1,3,1,18,0,4
198,1,3,1,21,1,4
519,0,3,0,32,1,3
517,0,3,0,25,1,3
151,1,1,1,22,0,2
163,0,3,0,17,1,3
826,0,3,0,25,1,3
104,0,3,0,37,0,3
728,0,2,0,25,0,2
642,0,3,1,2,0,4
305,1,1,0,0,0,1
202,0,3,0,34,1,3
124,0,1,0,54,0,1
87,0,3,0,25,1,3
613,0,3,0,25,1,3
818,0,3,0,43,1,3
98,1,2,1,34,0,3
93,0,3,0,26,0,3
472,1,2,1,33,0,3
317,0,2,0,54,1,2
58,1,2,1,5,0,3
319,1,1,1,40,0,2
845,0,3,0,42,1,3
147,0,3,1,9,0,4
192,1,3,1,19,0,4
9,1,2,1,14,0,3
542,0,3,1,11,0,4
74,1,3,0,32,1,3
347,1,3,1,21,0,4
839,1,1,0,40,1,1
546,1,2,1,19,0,3
320,0,3,0,22,1,3
387,1,2,1,36,1,3
814,0,3,0,30,1,3
857,1,1,0,51,1,1
535,1,2,1,7,0,3
611,0,3,0,25,1,3
359,1,3,1,21,1,4
562,0,2,0,28,1,2
40,0,3,1,40,0,4
866,1,2,1,27,0,3
77,0,3,0,25,1,3
820,1,1,1,52,0,2
678,0,3,1,43,0,4
411,0,3,0,25,1,3
141,1,3,1,22,1,4
512,1,1,0,36,1,1
152,0,3,0,55,1,3
653,1,3,1,21,1,4
425,0,3,0,25,1,3
758,0,3,0,34,1,3
837,0,3,0,25,1,3
627,1,1,1,21,1,2
587,1,1,0,60,0,1
184,1,3,1,4,0,4
755,1,2,0,0,0,2
466,0,2,0,30,1,2
228,0,2,0,18,1,2
122,0,2,0,32,0,2
576,1,2,1,34,1,3
459,0,3,0,25,1,3
805,0,3,0,31,1,3
852,0,3,1,9,0,4
433,0,3,0,17,1,3
683,0,3,0,14,0,3
375,1,1,1,35,0,2
825,0,3,0,25,1,3
592,0,3,0,47,1,3
515,0,1,0,47,1,1
106,1,3,1,21,1,4
727,1,3,1,21,1,4
391,1,3,0,21,1,3
491,0,3,0,21,1,3
848,0,2,0,28,0,2
841,0,2,0,16,1,2
769,0,3,0,32,1,3
778,0,3,0,25,1,3
667,0,3,0,25,1,3
187,1,1,0,45,1,1
551,0,2,0,27,1,2
801,1,2,1,31,0,3
563,0,3,0,25,1,3
83,0,1,0,28,1,1
84,1,2,1,17,1,3
550,1,1,0,17,0,1
385,0,2,0,18,1,2
100,0,3,1,28,1,4
434,0,1,0,50,0,1
686,0,3,0,14,0,3
46,0,3,0,25,0,3
421,0,3,0,21,1,3
143,0,3,0,19,1,3
496,1,1,1,54,0,2
243,0,3,0,22,1,3
353,0,3,0,25,0,3
614,0,3,0,35,1,3
761,0,3,0,41,1,3
471,0,3,0,38,1,3
487,0,1,0,58,1,1
416,1,2,1,34,0,3
679,1,1,0,36,0,1
25,1,3,1,38,0,4
742,1,1,1,21,0,2
456,0,1,0,65,1,1
495,0,3,0,25,1,3
522,0,3,0,25,1,3
229,0,3,1,21,0,4
844,0,3,0,17,1,3
281,0,3,0,28,1,3
461,0,3,0,34,1,3
328,1,3,1,31,0,4
715,0,3,0,19,1,3
676,0,3,0,24,1,3
429,1,3,0,32,1,3
567,0,3,1,29,0,4
853,1,1,1,16,0,2
437,1,2,1,24,0,3
662,0,1,0,47,1,1
286,1,3,0,30,1,3
740,1,1,0,40,1,1
339,0,1,0,45,1,1
639,0,3,0,25,0,3
543,1,2,0,32,0,2
442,0,3,0,25,0,3
73,0,3,0,26,0,3
876,0,3,0,20,1,3
45,0,3,0,25,1,3
869,1,3,0,4,0,3
549,1,2,0,8,0,2
2,1,3,1,26,1,4
17,1,2,0,30,1,2
291,1,1,1,19,0,2
205,0,3,1,2,0,4
372,0,3,0,19,1,3
20,0,2,0,35,1,2
834,0,3,0,18,1,3
862,1,1,1,48,1,2
803,1,3,0,0,0,3
216,1,3,1,27,1,4
300,1,3,1,21,1,4
620,0,3,0,27,0,3
663,0,3,0,36,1,3
47,1,3,1,21,1,4
264,0,3,1,21,1,4
313,0,3,0,28,1,3
571,1,1,1,53,0,2
541,0,3,1,9,0,4
589,0,3,0,25,1,3
392,0,3,0,28,0,3
682,0,3,0,20,1,3
717,1,2,1,27,1,3
503,0,3,1,37,1,4
506,1,2,1,33,0,3
262,0,1,0,52,0,1
358,1,3,1,21,1,4
656,0,3,0,25,1,3
502,0,3,1,21,1,4
350,0,3,0,23,1,3
747,1,2,1,30,1,3
772,0,2,1,57,1,3
284,0,1,0,40,1,1
608,1,2,1,22,0,3
811,0,3,0,39,1,3
78,1,2,0,0,0,2
398,0,2,0,23,1,2
712,1,1,0,48,0,1
8,1,3,1,27,0,4
798,0,3,0,30,1,3
374,0,3,1,3,0,4
687,0,3,0,19,1,3
860,0,3,0,41,0,3
430,1,1,0,28,1,1
889,1,1,0,26,1,1
668,0,3,0,43,1,3
269,1,1,1,35,1,2
133,1,2,1,29,0,3
809,1,1,1,33,0,2
886,0,2,0,27,1,2
881,0,3,0,33,1,3
481,0,2,0,30,1,2
123,1,2,1,32,1,3
404,0,3,1,20,1,4
735,0,3,0,28,1,3
197,0,3,0,42,0,3
7,0,3,0,2,0,3
622,1,3,0,20,0,3
256,1,1,1,35,1,2
315,1,3,1,26,1,4
851,0,3,0,74,1,3
296,0,3,0,23,1,3
527,0,1,0,40,1,1
323,1,2,1,22,0,3
444,1,3,0,25,1,3
675,0,3,0,18,1,3
815,0,1,0,40,1,1
59,0,3,0,11,0,3
406,0,3,0,51,1,3
16,0,3,0,2,0,3
568,0,3,0,25,1,3
585,1,1,1,18,0,2
629,0,3,0,25,1,3
55,1,1,0,40,1,1
11,1,1,1,58,1,2
776,0,3,0,25,1,3
413,0,2,0,30,1,2
327,1,2,1,36,1,3
357,0,2,1,38,1,3
34,0,1,0,28,0,1
231,0,3,0,29,1,3
371,0,3,0,18,0,3
310,1,1,1,24,1,2
554,1,3,1,22,1,4
178,0,2,0,30,1,2
757,0,2,0,18,1,2
275,1,1,1,63,0,2
509,1,3,0,26,1,3
91,0,3,0,20,1,3
61,1,1,1,38,1,2
582,0,2,0,54,1,2
194,1,1,1,44,1,2
867,0,1,0,31,1,1
697,1,3,1,21,1,4
489,1,3,0,9,0,3
733,0,2,0,23,1,2
694,0,1,0,60,1,1
234,0,2,0,24,1,2
762,1,3,0,20,1,3
666,0,2,0,25,1,2
351,0,1,0,40,1,1
218,1,1,1,32,1,2
570,1,2,0,62,1,2
877,0,3,0,19,1,3
190,1,2,1,32,1,3
655,0,2,0,24,0,2
633,0,1,0,40,1,1
137,0,1,0,37,0,1
186,1,3,1,21,0,4
382,0,3,0,32,1,3
473,1,2,1,23,1,3
354,0,3,0,25,1,3
261,1,3,0,3,0,3
222,0,3,0,51,1,3
703,0,3,0,25,1,3
330,1,3,1,21,0,4
217,0,2,0,42,0,2
773,0,3,0,25,1,3
65,1,3,0,25,0,3
791,0,2,0,16,1,2
220,1,3,0,16,1,3
780,1,3,1,13,1,4
518,1,2,1,36,0,3
420,0,3,0,25,1,3
661,0,3,0,40,1,3
68,1,3,1,17,0,4
863,0,3,1,21,0,4
724,1,1,0,27,0,1
490,0,3,0,25,0,3
232,0,2,0,59,1,2
782,0,1,0,29,1,1
578,0,3,1,21,0,4
369,1,1,1,24,1,2
324,0,3,0,25,0,3
516,1,2,1,34,1,3
593,0,3,1,21,0,4
115,0,3,0,21,1,3
36,1,3,0,25,1,3
558,1,1,1,39,0,2
393,1,1,1,23,0,2
523,1,1,1,44,0,2
253,0,3,0,30,0,3
31,1,1,1,35,0,2
334,1,1,1,35,0,2
415,0,3,1,21,1,4
41,0,2,1,27,0,3
797,1,3,1,31,1,4
564,0,3,1,21,1,4
399,1,2,1,28,1,3
560,0,3,0,25,1,3
329,1,1,1,16,0,2
168,0,1,0,40,1,1
149,0,2,0,42,1,2
408,0,3,0,21,1,3
400,1,3,0,39,1,3
239,0,2,0,33,1,2
559,1,3,1,36,0,4
722,0,2,0,34,1,2
492,0,1,0,55,1,1
807,0,3,1,18,1,4
599,1,1,0,49,0,1
477,0,3,0,29,0,3
157,0,3,0,30,1,3
118,0,1,0,24,0,1
53,1,2,1,29,0,3
439,0,2,0,31,1,2
539,1,1,1,22,0,2
221,0,2,0,27,1,2
279,1,3,1,35,0,4
652,0,3,0,21,1,3
499,0,3,0,24,1,3
57,0,3,0,28,1,3
207,1,3,0,26,1,3
12,0,3,0,20,1,3
460,1,1,0,48,1,1
389,1,2,1,17,1,3
394,1,3,1,24,0,4
672,0,2,0,70,1,2
743,0,3,0,24,0,3
381,1,3,1,1,0,4
647,1,1,0,56,1,1
792,0,3,1,21,0,4
56,1,2,1,21,1,3
199,0,2,1,24,1,3
690,1,1,0,31,0,1
206,0,3,0,32,0,3
813,0,3,1,6,0,4
843,0,3,0,34,1,3
52,1,1,1,49,0,2
0,0,3,0,22,0,3
455,1,3,0,29,1,3
745,0,1,0,70,0,1
545,0,1,0,64,1,1
6,0,1,0,54,1,1
741,0,1,0,36,0,1
365,0,3,0,30,1,3
326,0,3,0,61,1,3
10,1,3,1,4,0,4
847,0,3,0,35,1,3
414,1,3,0,44,1,3
287,0,3,0,22,1,3
701,1,1,0,35,1,1
842,1,1,1,30,1,2
242,0,2,0,29,1,2
277,0,2,0,30,1,2
835,1,1,1,39,0,2
521,0,3,0,22,1,3
337,1,1,1,41,1,2
66,1,2,1,29,1,3
165,1,3,0,9,0,3
870,0,3,0,26,1,3
691,1,3,1,4,0,4
182,0,3,0,9,0,3
478,0,3,0,22,1,3
401,0,3,0,26,1,3
816,0,3,1,23,1,4
871,1,1,1,47,0,2
343,0,2,0,25,1,2
409,0,3,1,21,0,4
174,0,1,0,56,1,1
771,0,3,0,48,1,3
846,0,3,0,25,0,3
219,0,2,0,30,1,2
575,0,3,0,19,1,3
110,0,1,0,47,1,1
50,0,3,0,7,0,3
204,1,3,0,18,1,3
547,1,2,0,30,1,2
651,1,2,1,18,0,3
139,0,1,0,24,1,1
441,0,3,0,20,1,3
128,1,3,1,21,0,4
33,0,2,0,66,1,2
94,0,3,0,59,1,3
604,1,1,0,35,1,1
267,1,3,0,25,0,3
289,1,3,1,22,1,4
278,0,3,0,7,0,3
623,0,3,0,21,1,3
111,0,3,1,14,0,4
285,0,3,0,33,1,3
185,0,1,0,40,1,1
276,0,3,1,45,1,4
67,0,3,0,19,1,3
412,1,1,1,33,0,2
685,0,2,0,25,0,2
643,1,3,0,25,1,3
167,0,3,1,45,0,4
191,0,2,0,19,1,2
154,0,3,0,25,1,3
531,0,3,0,25,1,3
827,1,2,0,1,0,2
488,0,3,0,30,1,3
346,1,2,1,40,1,3
657,0,3,1,32,0,4
483,1,3,1,63,1,4
35,0,1,0,42,0,1
121,0,3,0,25,1,3
581,1,1,1,39,0,2
336,0,1,0,29,0,1
696,0,3,0,44,1,3
470,0,3,0,25,1,3
136,1,1,1,19,0,2
102,0,1,0,21,0,1
384,0,3,0,25,1,3
637,0,2,0,31,0,2
753,0,3,0,23,1,3
134,0,2,0,25,1,2
467,0,1,0,56,1,1
405,0,2,0,34,0,2
630,1,1,0,80,1,1
723,0,2,0,50,1,2
215,1,1,1,31,0,2
19,1,3,1,21,1,4
1,1,1,1,38,0,2
125,1,3,0,12,0,3
468,0,3,0,25,1,3
507,1,1,0,40,1,1
263,0,1,0,40,1,1
619,0,2,0,26,1,2
671,0,1,0,31,0,1
318,1,1,1,31,0,2
79,1,3,1,30,1,4
213,0,2,0,30,1,2
789,0,1,0,46,1,1
69,0,3,0,26,0,3
244,0,3,0,30,1,3
345,1,2,1,24,1,3
856,1,1,1,45,0,2
85,1,3,1,33,0,4
249,0,2,0,54,0,2
658,0,2,0,23,1,2
498,0,1,1,25,0,2
424,0,3,0,18,0,3
555,0,1,0,62,1,1
565,0,3,0,24,0,3
768,0,3,0,25,0,3
145,0,2,0,19,0,2
763,1,1,1,36,0,2
274,1,3,1,21,1,4
533,1,3,1,21,0,4
785,0,3,0,25,1,3
721,0,3,0,17,0,3
709,1,3,0,25,0,3
681,1,1,0,27,1,1
13,0,3,0,39,0,3
368,1,3,1,21,1,4
617,0,3,1,26,0,4
126,0,3,0,25,1,3
129,0,3,0,45,1,3
544,0,1,0,50,0,1
510,1,3,0,29,1,3
200,0,3,0,28,1,3
446,1,2,1,13,0,3
635,1,2,1,28,1,3
270,0,1,0,40,1,1
760,0,3,0,25,1,3
754,1,2,1,48,0,3
130,0,3,0,33,1,3
693,0,3,0,25,1,3
606,0,3,0,30,1,3
367,1,3,1,21,1,4
364,0,3,0,25,0,3
23,1,1,0,28,1,1
799,0,3,1,30,0,4
649,1,3,1,23,1,4
225,0,3,0,22,1,3
96,0,1,0,71,1,1
465,0,3,0,38,1,3
201,0,3,0,25,0,3
664,1,3,0,20,0,3
850,0,3,0,4,0,3
363,0,3,0,35,1,3
177,0,1,1,50,1,2
257,1,1,1,30,1,2
573,1,3,1,21,1,4
640,0,3,0,20,1,3
283,1,3,0,19,1,3
677,1,3,1,18,1,4
95,0,3,0,25,1,3
183,1,2,0,1,0,2
752,0,3,0,33,1,3
342,0,2,0,28,1,2
873,0,3,0,47,1,3
538,0,3,0,25,1,3
377,0,1,0,27,0,1
440,1,2,1,45,0,3
148,0,2,0,36,0,2
804,1,3,0,27,1,3
378,0,3,0,20,1,3
108,0,3,0,38,1,3
402,0,3,1,21,0,4
38,0,3,1,18,0,4
86,0,3,0,16,0,3
396,0,3,1,31,1,4
380,1,1,1,42,1,2
879,1,1,1,56,0,2
214,0,3,0,25,0,3
4,0,3,0,35,1,3
15,1,2,1,55,1,3
557,0,1,0,40,1,1
561,0,3,0,40,1,3
226,1,2,0,19,1,2
795,0,2,0,39,1,2
730,1,1,1,29,1,2
135,0,2,0,23,1,2
22,1,3,1,15,1,4
309,1,1,1,30,1,2
716,1,1,1,38,1,2
526,1,2,1,50,1,3
109,1,3,1,21,0,4
427,1,2,1,19,1,3
890,0,3,0,32,1,3
536,0,1,0,45,1,1
120,0,2,0,21,0,2
750,1,2,1,4,0,3
97,1,1,0,23,0,1
99,0,2,0,34,0,2
540,1,1,1,36,0,2
476,0,2,0,34,0,2
370,1,1,0,25,0,1
49,0,3,1,18,0,4
273,0,1,0,37,0,1
32,1,3,1,21,1,4
237,1,2,1,8,0,3
579,1,3,0,32,1,3
530,1,2,1,2,0,3
383,1,1,1,35,0,2
331,0,1,0,45,1,1
48,0,3,0,25,0,3
54,0,1,0,65,0,1
878,0,3,0,25,1,3
304,0,3,0,25,1,3
586,0,2,0,47,1,2
553,1,3,0,22,1,3
428,0,3,0,25,1,3
650,0,3,0,25,1,3
379,0,3,0,19,1,3
638,0,3,1,41,0,4
660,1,1,0,50,0,1
628,0,3,0,26,1,3
711,0,1,0,40,1,1
887,1,1,1,19,1,2
142,1,3,1,24,0,4
119,0,3,1,2,0,4
271,1,3,0,25,1,3
884,0,3,0,25,1,3
288,1,2,0,42,1,2
583,0,1,0,36,1,1
176,0,3,0,25,0,3
729,0,3,1,25,0,4
812,0,2,0,35,1,2
796,1,1,1,49,1,2
756,0,3,0,28,1,3
607,1,1,0,27,1,1
726,1,2,1,30,0,3
397,0,2,0,46,1,2
621,1,1,0,42,0,1
266,0,3,0,16,0,3
806,0,1,0,39,1,1
707,1,1,0,42,1,1
822,0,1,0,38,1,1
759,1,1,1,33,1,2
590,0,3,0,35,1,3
883,0,2,0,28,1,2
160,0,3,0,44,0,3
783,0,3,0,25,0,3
241,1,3,1,21,0,4
513,1,1,1,54,0,2
